# https://payme.stoplight.io/docs/guides/cl2s30d4k2knz-file-types

File Types
NAME	CODE	DESCRIPTION
Social Id	1	Social ID document (תעודת הזהות). For additional information see Note 3 above
Bank Account Ownership	2	Proof of bank account ownership or a cancelled cheque photo (שיק מבוטל או אישור ניהול חשבון בנק). For additional information see Note 3 above
Corporate Certificate	3	Incorporation document (תעודת התאגדות של עוסק פטור/עוסק מורשה/חברה בע"מ/עמותה). For additional information see Note 3 above
Bank Authorization	4	Bank authorization (הרשאה לחיוב חשבון)
Personal Guarantee	5	Personal guarantee (ערבות אוואל). Relevant only if was requested by your Account Manager
Promissory Note	6	Promissory note (שטר חוב). Relevant only if was requested by your Account Manager
Processing Agreement	7	Processing agreement (הסכם סליקה). Relevant only if was requested by your Account Manager
Signature	8	Signature (חתימה). Relevant only if was requested by your Account Manager
Stamp	9	Stamp (חותמת). Relevant only if was requested by your Account Manager
Additional License	11	Additional license (רשיון נוסף). Relevant only if was requested by your Account Manager
Public Representative	12	Public representative document (הצהרת איש ציבור). Relevant only if was requested by your Account Manager
Regulatory Authentication	13	Regulatory authentication (נסח חברה או BDI). Relevant only if was requested by your Account Manager
Authorized Signer Protocol	14	Authorized signer protocol (פרוטוקול מורשי חתימה). Relevant only if was requested by your Account Manager
Business Proof	15	Business proof document (אישור עסק). Relevant only if was requested by your Account Manager
Service Receiver	16	Service receiver document (הצהרת מקבל שירות). Relevant only if was requested by your Account Manager
Face-To-Face Approval	17	Face-To-Face approval (אישור זיהוי פנים מול פנים). Relevant only if was requested by your Account Manager
False Statement Of Information	18	False statement of information (הצהרת מידע כוזב). Relevant only if was requested by your Account Manager
Bank Statement	19	Bank Statement of the last 3 months.
Processing History	20	Processing History.
Tax Return	21	Tax Return.
Inventory Proof	22	Inventory Proof.
Company Logo	23	Company logo image. Relevant only if was requested by your Account Manager
Driving License	24	Driving license (רשיון נהיגה). Relevant if you are onboarding Keep sellers.
Social ID Appendix	25	Social ID Appendix (ספח תעודת זהות). Relevant if you are onboarding Keep sellers.
Passport	26	Passport (דרכון). Relevant if you are onboarding Keep sellers.
Origin Tax Confirmation	27	Origin Tax Confirmation (אישור ניכוי מס במקור). Relevant if you are onboarding Keep sellers.
Bookkeeping Certificate	28	Bookkeeping Certificate (אישור ניהול ספרים). Relevant if you are onboarding Keep sellers.
Credit Voucher Discount Agreement	29	Agreement for credit voucher discount.
Professional License	32	An image of a proffesional License
Ministry Certificate	33	An image of a Ministry Certificate.
Copyright	34	An image of a Copyright Certificate.
Lease	35	An image of Lease Agreement of you business.
Social ID Front	90	An image of the front of a Social ID
Social ID Back	91	An image of the back of a Social ID
Passport Front	92	An image of the front side of the passport. (דרכון)
Passport Back	93	An image of the back side of the passport
Driving License Front	94	An image of the front of a driving License (רשיון נהיגה)
Driving License Back	95	An image of the back of a driving License
PayMe	100	
Isracard	101	
Tzameret	102	
Cal	103	
ECom	104	
CardCom	105	
Summary	200	
Site Url	201
