# https://payme.stoplight.io/docs/guides/u62g6pktpkr2t-israeli-mcc-list

Israeli MCC List
PAYME MCC CODE	DESCRIPTION IN HEBREW	DESCRIPTION IN ENGLISH
10000	משתלות	Nurseries
10001	משתלות רגילות	Ordinary nurseries
10002	משתלות יצרניות	Manufacturers' nurseries
10003	משתלות מעורבות	Multi-Purpose nurseries
10004	קונדיטוריה	Confectionery
10005	קונדיטוריה-קונדיטוריות לייצור עצמי ומכירה במקום	Confectionery-confectionery for self-production and sale instead
10006	קונדיטוריה-קונדיטוריות לייצור עצמי ומכירה במספר מוקדים	Confectionery-confectionery for self-production and selling in several focal points
10007	קונדיטוריה לייצור עצמי בתוספת בית קפה	Self -production confectionery plus a cafe
10008	קונדיטוריה בייצור סיטונאי	Confectionery in wholesale production
10009	מאפיה	bakery
10010	מאפיות קטנות	Small bakery
10011	מאפיות בינוניות	Medium bakeries
10012	מאפיות גדולות	Large bakery
10013	מאפיות פיתות	Pites bakery
10014	ייצור ופלים ועוגיות	Waffles and Cookies Manufacturing
10015	פאות	Wigs
10016	פאות-חנויות לאוכלוסייה החרדית\דתית	Wigs-shops for the ultra-Orthodox / religious population
10017	פאות-חנויות לכלל האוכלוסיה	Wigs-stores for the general population
10018	מסגריות	Locksmiths
10019	מסגריות מכניות-עיבוד שבבי	Mechanical cargo-chip processing
10020	מוסכים	Garages
10021	אביזרי רכב	car accessories
10022	אביזרי רכב-מוצרי מדף כללים	Automotive accessories-products
10023	אביזרי רכב-מצברים	Car accessories
10024	אביזרי רכב-נורות	Car-Lamp accessories
10025	אביזרי רכב-התקנת מערכות: רדיו דיסק, מולטימדיה	Car Accessories-Systems Installation: Disk Radio, Multimedia
10026	אביזרי רכב: דיבורית B.T	Car Accessories: B.T Handle
10027	אביזרי רכב: חיישני נסיעה לאחור	Automotive Accessories: Rehole
10028	אביזרי רכב: קודן	Car Accessories: Coden
10029	אביזרי רכב: כספת	Car Accessories: Safe
10030	אביזרי רכב: מצלמת דרך	Car Accessories: Camera
10031	מעדניה	deli
10032	ספרים	Books
10033	ספרים-חנויות לספרי קריאה ועיון	Books-stores for reading and reference books
10034	ספרים-חנויות לספרי לימוד בלבד	Books-stores for textbooks only
10035	ספרים-חנויות לספקי קריאה ועיון ולספרי לימוד	Books-stores for reading and seminar and textbooks
10036	הלבשת גברים - חנויות אופנה	Men's Clothing- fashion shops
10037	הלבשת גברים - חנויות הלבשה	Men's Clothing - dressing shops
10038	הלבשת גברים - חנויות בזאר	Men's Clothing - Bazaar shops
10039	הלבשת גברים - יבואנים	Men's Clothing - Importing
10040	הלבשת גברים - בתי אופנה יוקרתיים	Men's Clothin - luxury fashion houses
10041	הלבשת ילדים ונוער- חנויות הלבשה	Dressing Children and Youth- Clothing stores
10042	הלבשת ילדים ונוער - חנויות באזר	Children and Youth Clothing - Baza Stores
10043	הלבשת ילדים ונוער - יבואנים	Children and Youth Clothing - Importing
10044	הלבשת ילדים ונוער - בתי אופנה יוקרתיים	Children and Youth - Luxury Fashion Homes
10045	הלבשת נשים - בתי אופנה יוקרתיים	Women's Clothing- Luxury Fashion Homes
10046	הלבשת נשים - חנויות אופנה	Women's Clothing - Fashion Stores
10047	הלבשת נשים - חנויות הלבשה	Women's Clothing - Clothing stores
10048	הלבשת נשים - חנויות בזאר	Women's Clothing - Bazaar shops
10049	הלבשת נשים - יבואנים	Dressing Women - Importers
10050	חנויות הלבשת נשים עליונה	Supreme Women's Clothing stores
10051	כובעים - חנויות בערי הפריפריה	Hats - shops in peripheral cities
10052	כובעים - חנויות בערים הגדולות והבינוניות וחנויות האופנה	Hats - shops in the big and medium cities and fashion stores
10053	כובעים - פריטים נלווים	Hats - related items
10054	הלבשה תחתונה	Lingerie
10055	גלריות	Galleries
10056	תערוכות	Exhibitions
10057	מסגרות לתמונות	picture frames
10058	עתיקות ותשמישי קדושה	Antiquities and Saint Grace
10059	עתיקות ותשמישי קדושה-חנות עממית	Antiquities and Popular Saint-Store
10060	עתיקות ותשמישי קדושה-חנות עממית המתמחה בשיווק טליתות	Antiquities and Holy Holocaust-Popular Store specializing in Talit Marketing
10061	עתיקות ותשמישי קדושה-חנות יוקרתית	Antiques and prestigious holy-stores
10062	אופטיקה	optics
10063	אופטיקה-עדשות	Optics-lenses
10064	אופטיקה-מסגרות	Optics-frames
10065	אופטיקה-זוג משקפיים (מסגרת+עדשות)	Optics-Corporate Glasses (Frame+Lens)
10066	אופטיקה-עדשות מגע	Optics-Touch Lens
10067	ואופטומטריסט	And optometrist
10068	מצלמות וצרכי צילום	Cameras and photography needs
10069	צלמים	Photographers
10070	צילום-חנויות עם "מעבדה זעירה" לפיתוח סרטי צילום והדפסת תמונות	Store photography with "Tiny Laboratory" for developing photo films and printing photos
10071	צילום-חנויות עם שירותי מעבדה חיצונית לפיתוח סרטי צילום והדפסת תמונות	Photo-store with external laboratory services for developing photo films and printing photos
10072	צילום-שכפול מסמכים וצילומי פספורט	Photo-Duplicate Documents and Passport Photography
10073	חיות	Animals
10074	שירותי פנסיון ואילוף לחיות מחמד	Petal and pet training services
10075	חיות בית-טיפול וסיוע	Home-the-handle and assistance
10076	חיות בית-טיפול וסיוע-חנויות המתמחות במכירת מזון בלבד	Home-handling and assistance-stores specializing in food sale only
10077	חיות בית-טיפול וסיוע-חנויות באזורים יוקרתיים	Home-handling and shop assistance in prestigious areas
10078	חיות בית-טיפול וסיוע-חנויות שכיחות	Home-handed and store assistance is common
10079	מגרשי מכוניות משומשות	Used car fields
10080	סוכני רכב למשומשות	Car agents for used
10081	מסחר בכלי רכב משומשים-יבואנים וסוכנויות למכירת רכב חדש	Used vehicles-imported vehicles and new car sales agencies
10082	מסחר בכלי רכב משומשים-קבלני משנה של היבואנים	Trade in used-to-contract vehicles of importers
10083	מסחר בכלי רכב משומשים-חברות הליסינג התפעולי וההשכרה	Trade in used vehicles-operating leasing companies and rental
10084	מסחר בכלי רכב משומשים-סוחרי רכב פרטיים בעלי מגרש	Trade in used vehicles-traded car dealers with plot
10085	מסחר בכלי רכב משומשים-סוחרי רכב פרטיים ללא מגרש	Trading in used-traded vehicles without a lot
10086	חניוני רכב	Car parking lots
10087	חניונים	Parking lots
10088	פיצריות	Pizzas
10089	מסעדות מזון מהיר	Fast food restaurants
10090	בתי קפה	Coffee shops
10091	בניית אתרי אינטרנט	Building websites
10092	עו"ד	More
10093	אדריכלים	Architects
10094	מעצבי פנים	interior designers
10095	וטרינר	veterinarian
10096	השכרת רכב	Car Rental
10097	סלון לכלות	A bridal salon
10098	גננים-עבודות הקמה של גנים	Gardens-Labor Establishment of Gardens
10099	גננים-עבודת אחזקה של גנים	Gardens-Gardens Maintenance Labor
10100	גני ילדים וצהרונים	Kindergartens and Haruns
10101	בית ספר לנהיגה	Driving school
10102	רופאי שיניים	Dentists
10103	רופאי שיניים אורתודנטיים	Orthodontic dentists
10104	רפואת שיניים	dentistry
10105	בתי אבות	Retirement homes
10106	שירותי סיעוד	Nursing services
10107	לשכות פרטיות להבאה, לתיווך ולטיפול בעובדים זרים בענף הסיעוד	Private bureaus to bring, mediation and handling foreign workers in the nursing industry
10108	מכוני כושר	Gyms
10109	מכבסות וניקוי יבש	Laundry and dry cleaning
10110	מכוני יופי	Beauty Institutes
